No,Facility Name,Category,Type,Free / Paid,Primary contact,Secandory contact,Email,Provice,District,Nearest Town / City,DS Division / Area,Full Address / Location Detail,Capabilities / Services,Available Hours,Available Doctors / Key Staff,Web site,Other Valuable Points / Notes,HTML code,Submitter Name,Submitter Contact,Submitter e-mail,Agreement
240,Primary Medical Care Unit - Beralihela,Mental Health,Government Primary Medical Care Unit,Free,047-3473211,,,Southern Province,Hambantota,Beralihela,Tissamaharama area,"Beralihela, Hambantota District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,,https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=198&lang=en,"<tr><td>Primary Medical Care Unit - Beralihela<div class=""e-mail""></div></td><td>Southern Province</td><td>Hambantota</td><td><a href=""tel:047-3473211"" class=""phone-link"">047-3473211</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
241,Regional Director of Health Services (RDHS) Hambantota,Mental Health Coordination,Government Health Administration,Free,047-2220381,,rdhshambantota@gmail.com,Southern Province,Hambantota,Hambantota,Hambantota,"Hambantota, Hambantota District",District mental-health coordination; Mental Health Focal Point; referral/event coordination,Call ahead to confirm current clinic/consultant hours,,,https://mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=39&Itemid=198&lang=en,"<tr><td>Regional Director of Health Services (RDHS) Hambantota<div class=""e-mail"">rdhshambantota@gmail.com</div></td><td>Southern Province</td><td>Hambantota</td><td><a href=""tel:047-2220381"" class=""phone-link"">047-2220381</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
242,STD Clinic - Hambantota,STD,Government STD Clinic,Free,047-2222247,,stdclinic.hambantota@gmail.com,Southern Province,Hambantota,Hambantota,Hambantota,"Hambantota, Hambantota District","Confidential STI/HIV testing, diagnosis, treatment, counseling and referral",Call ahead to confirm current clinic/consultant hours,,,https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=32&Itemid=147&lang=si,"<tr><td>STD Clinic - Hambantota<div class=""e-mail"">stdclinic.hambantota@gmail.com</div></td><td>Southern Province</td><td>Hambantota</td><td><a href=""tel:047-2222247"" class=""phone-link"">047-2222247</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
243,Ruhunu Medi Hospital / Medi House - Hambantota,Mental Health / Private Channeling,Private Hospital,Paid,047-2220378,047-2220035 / 070-7004700,ruhunu.medihospitalhambantota@gmail.com,Southern Province,Hambantota,Hambantota,Hambantota,"Hambantota, Hambantota District",Psychiatrist channeling; 24-hour OPD; ETU; inpatient care; diagnostics and specialist services,Call ahead to confirm current clinic/consultant hours,,,https://ruhunumedihospital.com/ruhunu-medi-hospital-hambantota/ ; https://www.doc.lk/search?hospital=221&specialization=0,"<tr><td>Ruhunu Medi Hospital / Medi House - Hambantota<div class=""e-mail"">ruhunu.medihospitalhambantota@gmail.com</div></td><td>Southern Province</td><td>Hambantota</td><td><a href=""tel:047-2220378"" class=""phone-link"">047-2220378</a><div class=""phone-secondary"">047-2220035 / 070-7004700</div></td><td>Paid</td></tr>",,,,
244,District General Hospital - Chilaw (Mental Health Clinic),Mental Health,Government District General Hospital,Free,032-2222261,,,North Western Province,Puttalam,Chilaw,Chilaw,"District General Hospital, Chilaw",Mental Health Clinic; specialist psychiatry referral,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en,,"<tr><td>District General Hospital - Chilaw (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2222261"" class=""phone-link"">032-2222261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
245,Base Hospital - Puttalam (Mental Health Clinic),Mental Health,Government Base Hospital,Free,032-2265261,,,North Western Province,Puttalam,Puttalam,Puttalam,"Puttalam, Puttalam District",Mental Health Clinic; specialist psychiatry referral,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Base Hospital - Puttalam (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2265261"" class=""phone-link"">032-2265261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
246,Base Hospital - Marawila (Mental Health Clinic),Mental Health,Government Base Hospital,Free,032-2254261,,,North Western Province,Puttalam,Marawila,Mahawewa,"Marawila, Puttalam District",Mental Health Clinic; specialist psychiatry referral,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Base Hospital - Marawila (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2254261"" class=""phone-link"">032-2254261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
247,Divisional Hospital - Mundalama,Mental Health,Government Divisional Hospital,Free,032-3327261,,,North Western Province,Puttalam,Mundalama,Mundalama,"Mundalama, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Mundalama<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-3327261"" class=""phone-link"">032-3327261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
248,Divisional Hospital - Kalpitiya,Mental Health,Government Divisional Hospital,Free,032-2260261,,,North Western Province,Puttalam,Kalpitiya,Kalpitiya,"Kalpitiya, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Kalpitiya<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2260261"" class=""phone-link"">032-2260261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
249,Divisional Hospital - Galmuruwa,Mental Health,Government Divisional Hospital,Free,032-2240662,,,North Western Province,Puttalam,Galmuruwa,Madampe,"Galmuruwa, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Galmuruwa<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2240662"" class=""phone-link"">032-2240662</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
250,Divisional Hospital - Dankotuwa,Mental Health,Government Divisional Hospital,Free,031-2258261,,,North Western Province,Puttalam,Dankotuwa,Dankotuwa,"Dankotuwa, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Dankotuwa<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:031-2258261"" class=""phone-link"">031-2258261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
251,Divisional Hospital - Lunuwila,Mental Health,Government Divisional Hospital,Free,031-2255261,,,North Western Province,Puttalam,Lunuwila,Wennappuwa,"Lunuwila, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Lunuwila<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:031-2255261"" class=""phone-link"">031-2255261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
252,Divisional Hospital - Anawilundawa,Mental Health,Government Divisional Hospital,Free,032-2259561,,,North Western Province,Puttalam,Anawilundawa,Arachchikattuwa,"Anawilundawa, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Anawilundawa<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2259561"" class=""phone-link"">032-2259561</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
253,Divisional Hospital - Anamaduwa,Mental Health,Government Divisional Hospital,Free,032-2263261,,,North Western Province,Puttalam,Anamaduwa,Anamaduwa,"Anamaduwa, Puttalam District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php,,"<tr><td>Divisional Hospital - Anamaduwa<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2263261"" class=""phone-link"">032-2263261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en; https://rdhsputtalam.yolasite.com/institutions-informations.php"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
254,Regional Director of Health Services (RDHS) Puttalam,Mental Health Coordination,Government Health Administration,Free,032-2247261,,dpdhs_puttlam@yahoo.com,North Western Province,Puttalam,Puttalam,Puttalam,"RDHS Office, Puttalam",District mental-health coordination; Mental Health Focal Point; referrals and event coordination,Weekday office hours (confirm),Medical Officer / Mental Health Focal Point,https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en,,"<tr><td>Regional Director of Health Services (RDHS) Puttalam<div class=""e-mail"">dpdhs_puttlam@yahoo.com</div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2247261"" class=""phone-link"">032-2247261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""https://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=52&Itemid=211&lang=en"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
255,STD Clinic - Puttalam,STD,Government STD Clinic,Free,032-2265261,,stdputtalama@gmail.com,North Western Province,Puttalam,Puttalam,Puttalam,"Unit 13, Base Hospital Puttalam","Confidential STI/HIV testing, diagnosis, treatment, counseling and referral",Mon-Fri 8:00am-4:00pm; Sat morning; confirm locally,Venereology / STD Clinic Team,,https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=46&Itemid=183&lang=en,"<tr><td>STD Clinic - Puttalam<div class=""e-mail"">stdputtalama@gmail.com</div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2265261"" class=""phone-link"">032-2265261</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
256,STD Clinic - Chilaw,STD,Government STD Clinic,Free,032-2220750,,stdclinic.chilaw@gmail.com,North Western Province,Puttalam,Chilaw,Chilaw,"STD Clinic, District General Hospital, Chilaw","Confidential STI/HIV testing, diagnosis, treatment, counseling and referral",Mon-Fri 8:00am-4:00pm; Sat morning; confirm locally,Venereology / STD Clinic Team,,https://aidscontrol.gov.lk/index.php?option=com_content&view=article&id=46&Itemid=183&lang=en,"<tr><td>STD Clinic - Chilaw<div class=""e-mail"">stdclinic.chilaw@gmail.com</div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2220750"" class=""phone-link"">032-2220750</a><div class=""phone-secondary""></div></td><td>Free</td></tr>",,,,
257,Balasooriya Hospital - Puttalam,Mental Health / Private Channeling,Private Hospital,Paid,032-2266266,032-2267153 / 071-4019149,,North Western Province,Puttalam,Puttalam,Puttalam,"118A, Kurunegala Road, Puttalam",Consultant psychiatrist; psychotherapist/psychologist; private specialist consultations; emergency services,Consultations by appointment; emergency service available,Visiting Consultant Psychiatrist / Psychotherapist,,https://balasooriyahospital.lk/Specialist.html,"<tr><td>Balasooriya Hospital - Puttalam<div class=""e-mail""></div></td><td>North Western Province</td><td>Puttalam</td><td><a href=""tel:032-2266266"" class=""phone-link"">032-2266266</a><div class=""phone-secondary"">032-2267153 / 071-4019149</div></td><td>Paid</td></tr>",,,,
258,Teaching Hospital - Anuradhapura (Acute Psychiatry Unit),Mental Health,Government Teaching Hospital,Free,025-2222261,025-2222262 / 025-2222263,,North Central Province,Anuradhapura,Anuradhapura,Anuradhapura,"Teaching Hospital, Harischandra Mawatha, Anuradhapura",Acute Psychiatry Unit; adult & child mental-health clinics; specialist psychiatry; emergency referral,24/7 hospital emergency; clinic schedule confirm locally,Consultant Psychiatry Team,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Teaching Hospital - Anuradhapura (Acute Psychiatry Unit)<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2222261"" class=""phone-link"">025-2222261</a><div class=""phone-secondary"">025-2222262 / 025-2222263</div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
259,Base Hospital - Kebithigollewa (Mental Health Clinic),Mental Health,Government Base Hospital,Free,025-2298661,025-3898798,,North Central Province,Anuradhapura,Kebithigollewa,Kebithigollewa,"Kebithigollewa, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Base Hospital - Kebithigollewa (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2298661"" class=""phone-link"">025-2298661</a><div class=""phone-secondary"">025-3898798</div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
260,Base Hospital - Padaviya (Mental Health Clinic),Mental Health,Government Base Hospital,Free,025-2253261,,,North Central Province,Anuradhapura,Padaviya,Padaviya,"Padaviya, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Base Hospital - Padaviya (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2253261"" class=""phone-link"">025-2253261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
261,Base Hospital - Thambuththegama (Mental Health Clinic),Mental Health,Government Base Hospital,Free,025-2276262,,,North Central Province,Anuradhapura,Thambuththegama,Thambuththegama,"Thambuththegama, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Base Hospital - Thambuththegama (Mental Health Clinic)<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2276262"" class=""phone-link"">025-2276262</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
262,Divisional Hospital - Medawachchiya,Mental Health,Government Divisional Hospital,Free,025-2245661,,,North Central Province,Anuradhapura,Medawachchiya,Medawachchiya,"Medawachchiya, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Medawachchiya<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2245661"" class=""phone-link"">025-2245661</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
263,Divisional Hospital - Nochchiyagama,Mental Health,Government Divisional Hospital,Free,025-2257861,,,North Central Province,Anuradhapura,Nochchiyagama,Nochchiyagama,"Nochchiyagama, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Nochchiyagama<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2257861"" class=""phone-link"">025-2257861</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
264,Divisional Hospital - Eppawala,Mental Health,Government Divisional Hospital,Free,025-2249161,,,North Central Province,Anuradhapura,Eppawala,Thalawa area,"Eppawala, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Eppawala<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2249161"" class=""phone-link"">025-2249161</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
265,Divisional Hospital - Galenbindunuwewa,Mental Health,Government Divisional Hospital,Free,025-2258261,,,North Central Province,Anuradhapura,Galenbindunuwewa,Galenbindunuwewa,"Galenbindunuwewa, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Galenbindunuwewa<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2258261"" class=""phone-link"">025-2258261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
266,Divisional Hospital - Mihintale,Mental Health,Government Divisional Hospital,Free,025-2266561,,,North Central Province,Anuradhapura,Mihintale,Mihintale,"Mihintale, Anuradhapura District",Mental Health Clinic; Medium Stay Unit,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Mihintale<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2266561"" class=""phone-link"">025-2266561</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
267,Divisional Hospital - Kahatagasdigiliya,Mental Health,Government Divisional Hospital,Free,025-2247461,,,North Central Province,Anuradhapura,Kahatagasdigiliya,Kahatagasdigiliya,"Kahatagasdigiliya, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Kahatagasdigiliya<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2247461"" class=""phone-link"">025-2247461</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
268,Divisional Hospital - Kekirawa,Mental Health,Government Divisional Hospital,Free,025-2264261,,,North Central Province,Anuradhapura,Kekirawa,Kekirawa,"Kekirawa, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Kekirawa<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2264261"" class=""phone-link"">025-2264261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
269,Divisional Hospital - Thalawa,Mental Health,Government Divisional Hospital,Free,025-2276261,,,North Central Province,Anuradhapura,Thalawa,Thalawa,"Thalawa, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Thalawa<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2276261"" class=""phone-link"">025-2276261</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
270,Divisional Hospital - Rambewa,Mental Health,Government Divisional Hospital,Free,025-2266564,,,North Central Province,Anuradhapura,Rambewa,Rambewa,"Rambewa, Anuradhapura District",Mental Health Clinic,Call ahead to confirm current clinic/consultant hours,,http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html,,"<tr><td>Divisional Hospital - Rambewa<div class=""e-mail""></div></td><td>North Central Province</td><td>Anuradhapura</td><td><a href=""tel:025-2266564"" class=""phone-link"">025-2266564</a><div class=""phone-secondary""></div></td><td>Free<div> <a href=""http://www.mentalhealth.health.gov.lk/index.php?option=com_content&view=article&id=33&Itemid=193&lang=en; https://hospitalslk.blogspot.com/2011/12/anuradhapura-district.html"" class=""web-site""target=""_blank"" style=""text-decoration: none;"">Web Site  🔗</a></div></td></tr>",,,,
